worker,language,age,gender,education,occupation,colors,order,qType,cond,scenario,who,whoCorrect,what,whatCorrect,where,whereCorrect,month,monthCorrect,day,dayCorrect,time,timeCorrect,ampm,ampmCorrect,responseTime,comments,mental,physical,temp,success,perf,stress,preference,trust1,trust2,trust3,trust4,trust5,trust6,trust7,trust8,trust9,trust10,trust11,trust12
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,inst,,,,,,,,,,,,,,,,,46106,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,inst,,,,,,,,,,,,,,,,,7333,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,introTraining,P,,,,,,,,,,,,,,,,6168,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,training,P,,Cube*,True,hotel*,True,Gibbonland*,True,January*,True,1*,True,11:00*,True,PM*,True,44937,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,afterScen,,,,,,,,,,,,,,,,,7425,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,introTraining,M,,,,,,,,,,,,,,,,4729,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,training,M,,Tetrahedron*,True,military-base*,True,Lemurland*,True,March*,True,1*,True,3:00*,True,AM*,True,52773,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,afterScen,,,,,,,,,,,,,,,,,4036,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,trust-pre,,,,,,,,,,,,,,,,,26337,,,,,,,,,6,1,1,1,1,6,4,4,6,6,6,4
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,introTest,,,,,,,,,,,,,,,,,9767,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,1,testing,P,4,Silver*,True,secular-school*,True,Sigmaland,False,January*,True,1*,True,9:00*,True,AM*,True,224150,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,afterScen,,,,,,,,,,,,,,,,,3799,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,betweenTest,,,,,,,,,,,,,,,,,1022,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,2,testing,P,1,Violet*,True,dignitary-visiting,False,Psiland*,True,April*,True,5*,True,11:00*,True,AM*,True,170444,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,afterScen,,,,,,,,,,,,,,,,,2881,,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,trust-post,P,,,,,,,,,,,,,,,,23186,,,,,,,,,1,1,1,1,1,5,5,5,5,5,5,5
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,comments,,,,,,,,,,,,,,,,,25099,i just read all the available information and put together an educated guess,,,,,,,,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,end,P,,,,,,,,,,,,,,,,31616,,16,1,1,5,19,3,1,,,,,,,,,,,,
b516f0ae9825deaddb28e81e1441f763--1545343317,Yes,30-49,Female,Ed2,O5,5,NA,pilot,,,,,,,,,,,,,,,,,4914,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,inst,,,,,,,,,,,,,,,,,48125,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,inst,,,,,,,,,,,,,,,,,108468,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,introTraining,P,,,,,,,,,,,,,,,,1717,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,training,P,,Cube*,True,hotel*,True,Gibbonland*,True,January*,True,1*,True,11:00*,True,PM*,True,62725,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,afterScen,,,,,,,,,,,,,,,,,4435,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,introTraining,M,,,,,,,,,,,,,,,,3638,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,training,M,,Tetrahedron*,True,military-base*,True,Lemurland*,True,March*,True,1*,True,3:00*,True,PM,False,48401,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,afterScen,,,,,,,,,,,,,,,,,3909,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,trust-pre,,,,,,,,,,,,,,,,,24492,,,,,,,,,2,2,2,2,2,4,4,4,4,4,4,5
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,introTest,,,,,,,,,,,,,,,,,27340,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,1,testing,M,4,Silver*,True,religious-school,False,Omicronland*,True,January*,True,1*,True,9:00*,True,AM*,True,267935,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,afterScen,,,,,,,,,,,,,,,,,3867,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,betweenTest,,,,,,,,,,,,,,,,,1837,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,2,testing,M,1,Violet*,True,financial-institution*,True,Psiland*,True,April*,True,5*,True,11:00*,True,AM*,True,207503,,,,,,,,,,,,,,,,,,,,
10ef1f9e89fcca3c34efbc20ace9f3fd--1545345846,Yes,18-29,Female,Ed2,O13,4,NA,afterScen,,,,,,,,,,,,,,,,,2854,,,,,,,,,,,,,,,,,,,,
